1,23,2,12,13
2,23,3,11,12
3,23,4,11,13
4,23,5,11,12
5,23,6,11,13
6,23,7,11,13
7,23,8,11,13
8,23,9,11,13
9,23,10,11,12
10,23,11,11,12
11,23,12,11,13
12,23,13,11,12
13,75,2,11,13
14,75,3,11,12
15,75,4,11,12
16,75,5,11,12
17,75,6,11,13
18,75,7,12,13
19,75,8,11,12
20,75,9,11,12
21,75,10,11,12
22,75,11,11,12
23,75,12,11,13
24,75,13,11,13
25,124,2,11,13
26,124,3,11,12
27,124,4,11,13
28,124,5,11,12
29,124,6,11,12
30,124,7,11,13
31,124,8,11,12
32,124,9,11,13
33,124,10,11,12
34,124,11,11,12
35,18,2,11,13
36,18,3,11,13
37,18,4,11,12
38,18,5,11,12
39,18,6,11,12
40,18,7,11,12
41,18,8,11,13
42,18,9,11,12
43,18,10,11,12
44,18,11,12,13
45,18,12,11,12
46,18,13,12,13
47,18,14,11,12
48,18,15,11,13
49,18,16,11,12
50,60,2,11,13
51,60,3,11,12
52,60,4,11,13
53,60,5,11,12
54,16,2,11,13
55,16,3,11,13
56,16,4,11,13
57,16,5,12,12
58,16,6,12,13
59,16,7,11,12
60,16,8,11,13
61,16,9,11,12
62,16,10,11,12
63,16,11,11,12
64,16,12,11,13
65,16,13,12,12
66,16,14,11,12
67,16,15,11,12
68,146,2,11,12
69,146,3,12,12
70,146,4,11,12
71,146,5,11,13
72,146,6,12,12
73,146,7,11,12
74,146,8,11,12
75,146,9,11,12
76,146,10,12,13
77,146,11,11,13
78,146,12,11,13
79,146,13,11,12
80,146,14,11,12
81,146,15,12,12
82,146,16,11,12
83,134,2,12,12
84,134,3,12,12
85,134,4,11,12
86,134,5,11,12
87,134,6,12,13
88,134,7,11,12
89,134,8,11,13
90,134,9,11,13
91,134,10,11,13
92,134,11,11,12
93,134,12,11,12
94,134,13,11,12
95,134,14,12,12
96,134,15,11,13
97,134,16,11,12
98,134,17,12,12
99,134,18,11,13
100,134,19,12,13
101,134,20,11,12
102,134,21,11,13
103,134,22,11,13
104,134,23,11,13
105,134,24,11,13
106,134,25,11,12
107,68,2,11,13
108,68,3,11,12
109,68,4,12,13
110,68,5,11,13
111,68,6,12,13
112,68,7,12,13
113,68,8,11,12
114,68,9,11,12
115,68,10,12,12
116,68,11,11,13
117,68,12,11,12
118,68,13,15,13
119,68,14,11,12
120,68,15,11,12
121,68,16,12,12
122,68,17,11,13
123,68,18,11,12
124,68,19,11,12
125,68,20,12,13
126,68,21,12,12
127,3,2,11,12
128,3,3,11,13
129,3,4,11,12
130,3,5,11,13
131,3,6,11,12
132,3,7,11,13
133,3,8,11,13
134,3,9,11,12
135,3,10,11,12
136,3,11,11,13
137,182,2,11,13
138,182,3,11,12
139,182,4,11,13
140,182,5,11,12
141,182,6,11,12
142,182,7,11,13
143,182,8,11,12
144,182,9,12,12
145,182,10,11,12
146,182,11,11,12
147,182,12,11,12
148,182,13,11,12
149,182,14,12,12
150,182,15,12,12
151,182,16,11,12
152,182,17,11,12
153,182,18,12,12
154,182,19,11,12
155,182,20,11,12
156,182,21,11,12
157,182,22,12,13
158,182,23,12,13
159,182,24,11,12
160,182,25,11,12
161,182,26,12,13
162,182,27,11,13
163,182,28,11,12
164,112,2,11,12
165,112,3,11,12
166,112,4,12,13
167,112,5,11,12
168,112,6,11,12
169,112,7,11,12
170,112,8,12,12
171,112,9,11,13
172,112,10,12,12
173,112,11,11,13
174,109,2,11,12
175,109,3,11,13
176,109,4,11,12
177,109,5,11,12
178,109,6,11,12
179,109,7,11,13
180,109,8,11,13
181,109,9,11,13
182,167,2,11,12
183,167,3,11,13
184,167,4,11,12
185,167,5,11,12
